id;parent_id;person_type;name;begin;end;wiki_url
de.05166024;de.05166;Gemeinde;Schwalmtal;;;Schwalmtal
de.05166028;de.05166;Stadt;Tönisvorst;;;Tönisvorst
de.05166032;de.05166;Stadt;Viersen;;;Viersen
de.05166036;de.05166;Stadt;Willich;;;Willich
de.05170001;de.05170;Kreisverwaltung;Wesel;;;Kreisverwaltung_Wesel
de.05170004;de.05170;Gemeinde;Alpen;;;Alpen
de.05170008;de.05170;Stadt;Dinslaken;;;Dinslaken
de.05170012;de.05170;Stadt;Hamminkeln;;;Hamminkeln
de.05170016;de.05170;Gemeinde;Hünxe;;;Hünxe
de.05170020;de.05170;Stadt;Kamp-Lintfort;;;Kamp-Lintfort
de.05170024;de.05170;Stadt;Moers;;;Moers
de.05170028;de.05170;Stadt;Neukirchen-Vluyn;;;Neukirchen-Vluyn
de.05170032;de.05170;Stadt;Rheinberg;;;Rheinberg
de.05170036;de.05170;Gemeinde;Schermbeck;;;Schermbeck
de.05170040;de.05170;Gemeinde;Sonsbeck;;;Sonsbeck
de.05170044;de.05170;Stadt;Voerde (Niederrhein);;;Voerde_(Niederrhein)
de.05170048;de.05170;Stadt;Wesel;;;Wesel
de.05170052;de.05170;Stadt;Xanten;;;Xanten
de.05200000;de.05;Landschaftsverband;Rheinland;;;Landschaftsverband_Rheinland
de.05313000;de.053;kreisfreie Stadt;Aachen;;;Aachen
de.05314000;de.053;kreisfreie Stadt;Bonn;;;Bonn
de.05315000;de.053;kreisfreie Stadt;Köln;;;Köln
de.05316000;de.053;kreisfreie Stadt;Leverkusen;;;Leverkusen
de.05334001;de.05334;Kreisverwaltung;Städteregion Aachen;2009-10-21;;Kreisverwaltung_Städteregion_Aachen
de.05334002;de.05334;kreisfreie Stadt;Aachen;2009-10-21;;Aachen
de.05334004;de.05334;Stadt;Alsdorf;2009-10-21;;Alsdorf
de.05334008;de.05334;Stadt;Baesweiler;2009-10-21;;Baesweiler
de.05334012;de.05334;Stadt;Eschweiler;2009-10-21;;Eschweiler
de.05334016;de.05334;Stadt;Herzogenrath;2009-10-21;;Herzogenrath
de.05334020;de.05334;Stadt;Monschau;2009-10-21;;Monschau
de.05334024;de.05334;Gemeinde;Roetgen;2009-10-21;;Roetgen
de.05334028;de.05334;Gemeinde;Simmerath;2009-10-21;;Simmerath
de.05334032;de.05334;Stadt;Stolberg (Rhld.);2009-10-21;;Stolberg_(Rhld.)
de.05334036;de.05334;Stadt;Würselen;2009-10-21;;Würselen
de.05354001;de.05354;Kreisverwaltung;Aachen;;2009-10-20;Kreisverwaltung_Aachen
de.05354004;de.05354;Stadt;Alsdorf;;2009-10-20;Alsdorf
de.05354008;de.05354;Stadt;Baesweiler;;2009-10-20;Baesweiler
de.05354012;de.05354;Stadt;Eschweiler;;2009-10-20;Eschweiler
de.05354016;de.05354;Stadt;Herzogenrath;;2009-10-20;Herzogenrath
de.05354020;de.05354;Stadt;Monschau;;2009-10-20;Monschau
de.05354024;de.05354;Gemeinde;Roetgen;;2009-10-20;Roetgen
de.05354028;de.05354;Gemeinde;Simmerath;;2009-10-20;Simmerath
de.05354032;de.05354;Stadt;Stolberg (Rhld.);;2009-10-20;Stolberg_(Rhld.)
de.05354036;de.05354;Stadt;Würselen;;2009-10-20;Würselen
de.05358001;de.05358;Kreisverwaltung;Düren;;;Kreisverwaltung_Düren
de.05358004;de.05358;Gemeinde;Aldenhoven;;;Aldenhoven
de.05358008;de.05358;Stadt;Düren;;;Düren
de.05358012;de.05358;Stadt;Heimbach;;;Heimbach
de.05358016;de.05358;Gemeinde;Hürtgenwald;;;Hürtgenwald
de.05358020;de.05358;Gemeinde;Inden;;;Inden
de.05358024;de.05358;Stadt;Jülich;;;Jülich
